id_transaksi,tanggal,jam,produk,kategori,jumlah,harga,diskon,total,metode_bayar,fakultas
TRX-0241,2026-05-27,08:45,Nasi Ayam Geprek,Makanan Berat,1,18000,0,18000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0105,2026-05-27,10:25,Kentang Goreng,Snack,1,10000,0,10000,QRIS,Ekonomi dan Bisnis
TRX-0081,2026-05-27,10:30,Kentang Goreng,Snack,1,10000,0,10000,Cash,Ekonomi dan Bisnis
TRX-0114,2026-05-27,10:35,Nasi Ayam Geprek,Makanan Berat,2,18000,1000,35000,QRIS,Ekonomi dan Bisnis
TRX-0144,2026-05-27,10:45,Es Jeruk,Minuman,1,7000,0,7000,Cash,Ilmu Komputer dan Rekayasa
TRX-0091,2026-05-27,12:00,Mie Goreng,Makanan Berat,1,14000,0,14000,QRIS,Ekonomi dan Bisnis
TRX-0094,2026-05-27,12:05,Nasi Ayam Geprek,Makanan Berat,1,18000,0,18000,Cash,Ilmu Komputer dan Rekayasa
TRX-0064,2026-05-27,15:35,Es Jeruk,Minuman,2,7000,1000,13000,QRIS,Keguruan dan Ilmu Pendidikan
TRX-0112,2026-05-27,16:55,Kentang Goreng,Snack,2,10000,0,20000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0118,2026-05-28,10:05,Kopi Susu,Minuman,1,10000,2000,8000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0146,2026-05-28,10:20,Nasi Ayam Geprek,Makanan Berat,1,18000,0,18000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0048,2026-05-28,11:15,Pisang Goreng,Snack,1,8000,2000,6000,QRIS,Keguruan dan Ilmu Pendidikan
TRX-0034,2026-05-28,11:45,Mie Goreng,Makanan Berat,1,14000,0,14000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0046,2026-05-28,13:30,Nasi Goreng,Makanan Berat,2,16000,0,32000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0005,2026-05-28,14:05,Bakso,Makanan Berat,1,15000,0,15000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0134,2026-05-28,14:40,Bakso,Makanan Berat,1,15000,2000,13000,QRIS,Hukum
TRX-0108,2026-05-28,15:00,Es Teh,Minuman,2,5000,0,10000,QRIS,Ilmu Komunikasi
TRX-0120,2026-05-28,16:00,Es Teh,Minuman,4,5000,0,20000,Cash,Ekonomi dan Bisnis
TRX-0158,2026-05-28,16:45,Es Teh,Minuman,1,5000,0,5000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0193,2026-05-29,09:25,Bakso,Makanan Berat,1,15000,0,15000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0113,2026-05-29,16:20,Nasi Goreng,Makanan Berat,1,16000,0,16000,Cash,Ilmu Komputer dan Rekayasa
TRX-0223,2026-05-30,12:15,Es Jeruk,Minuman,1,7000,2000,5000,Cash,Keguruan dan Ilmu Pendidikan
TRX-0132,2026-05-30,13:40,Soto Ayam,Makanan Berat,2,17000,0,34000,QRIS,Ekonomi dan Bisnis
TRX-0137,2026-05-30,14:05,Es Teh,Minuman,2,5000,0,10000,QRIS,Ilmu Komunikasi
TRX-0072,2026-05-30,15:10,Roti Bakar,Snack,2,12000,0,24000,Cash,Ilmu Komputer dan Rekayasa
TRX-0232,2026-05-30,15:20,Es Teh,Minuman,1,5000,0,5000,QRIS,Ekonomi dan Bisnis
TRX-0038,2026-05-30,16:55,Bakso,Makanan Berat,1,15000,0,15000,QRIS,Ilmu Komputer dan Rekayasa
