id_tiket,tanggal_lapor,hari_lapor,jam_lapor,unit_pelapor,kategori_masalah,prioritas,kanal_laporan,waktu_respons_menit,waktu_selesai_jam,jumlah_teknisi,eskalasi,status_sla,kepuasan_1_5
TIK00498,2026-01-13,Selasa,09:35,Akademik,Akun/Login,Rendah,Form Online,76,2.2,1,Tidak,Sesuai SLA,4
TIK00499,2026-01-13,Selasa,09:35,Program Studi,Sistem Akademik,Sedang,Form Online,67,14.1,2,Ya,Lewat SLA,4
TIK00500,2026-01-13,Selasa,09:35,Umum,Internet/WiFi,Sedang,WhatsApp,27,6.9,1,Tidak,Sesuai SLA,4
TIK00501,2026-01-13,Selasa,09:40,Program Studi,Komputer/Laptop,Rendah,WhatsApp,35,6.4,1,Tidak,Sesuai SLA,4
TIK00502,2026-01-13,Selasa,09:45,Program Studi,Printer,Rendah,WhatsApp,50,2.7,1,Tidak,Sesuai SLA,4
TIK00503,2026-01-13,Selasa,09:55,Keuangan,Sistem Akademik,Sedang,WhatsApp,62,8.1,1,Tidak,Sesuai SLA,4
TIK00504,2026-01-13,Selasa,10:00,Kemahasiswaan,Akun/Login,Rendah,Form Online,59,3.2,1,Tidak,Sesuai SLA,5
TIK00505,2026-01-13,Selasa,10:05,Perpustakaan,Printer,Tinggi,Form Online,32,4.6,1,Tidak,Sesuai SLA,5
TIK00506,2026-01-13,Selasa,10:05,Akademik,Sistem Akademik,Sedang,Form Online,62,14.5,2,Ya,Lewat SLA,2
TIK00507,2026-01-13,Selasa,11:00,Laboratorium,Komputer/Laptop,Sedang,Email,90,6.9,1,Tidak,Sesuai SLA,3
TIK00508,2026-01-13,Selasa,11:25,Perpustakaan,Komputer/Laptop,Rendah,WhatsApp,55,6.2,1,Tidak,Sesuai SLA,4
TIK00509,2026-01-13,Selasa,11:30,Keuangan,Printer,Rendah,Form Online,88,5.7,1,Tidak,Sesuai SLA,4
TIK00510,2026-01-13,Selasa,11:30,Akademik,Internet/WiFi,Sedang,Email,64,11.9,1,Ya,Lewat SLA,3
TIK00511,2026-01-13,Selasa,11:35,Program Studi,Komputer/Laptop,Tinggi,WhatsApp,14,8.8,1,Tidak,Lewat SLA,4
TIK00512,2026-01-13,Selasa,11:40,Laboratorium,Akun/Login,Sedang,Form Online,43,3.8,1,Tidak,Sesuai SLA,4
TIK00513,2026-01-13,Selasa,11:50,Program Studi,Internet/WiFi,Rendah,WhatsApp,66,9.0,1,Ya,Sesuai SLA,3
TIK00514,2026-01-13,Selasa,12:00,Kemahasiswaan,Internet/WiFi,Rendah,WhatsApp,75,6.3,1,Tidak,Sesuai SLA,4
TIK00515,2026-01-13,Selasa,12:50,Program Studi,Proyektor,Rendah,Form Online,92,2.0,1,Tidak,Sesuai SLA,4
TIK00516,2026-01-13,Selasa,13:10,Kemahasiswaan,Printer,Rendah,WhatsApp,40,2.9,1,Tidak,Sesuai SLA,5
TIK00517,2026-01-13,Selasa,13:25,Perpustakaan,Sistem Akademik,Sedang,Datang Langsung,20,7.2,2,Tidak,Sesuai SLA,5
TIK00518,2026-01-13,Selasa,13:45,Perpustakaan,Internet/WiFi,Rendah,Form Online,59,7.1,2,Tidak,Sesuai SLA,3
TIK00519,2026-01-13,Selasa,13:50,Keuangan,Internet/WiFi,Sedang,Datang Langsung,30,6.5,1,Tidak,Sesuai SLA,5
TIK00520,2026-01-13,Selasa,13:50,Akademik,Proyektor,Sedang,Email,64,9.0,1,Tidak,Sesuai SLA,5
TIK00521,2026-01-13,Selasa,13:55,Akademik,Printer,Rendah,WhatsApp,43,2.7,1,Tidak,Sesuai SLA,5
TIK00522,2026-01-13,Selasa,13:55,Program Studi,Sistem Akademik,Sedang,Email,74,10.3,1,Tidak,Lewat SLA,2
TIK00523,2026-01-13,Selasa,14:00,Program Studi,Akun/Login,Rendah,Form Online,63,1.8,1,Tidak,Sesuai SLA,4
TIK00524,2026-01-13,Selasa,14:05,Akademik,Komputer/Laptop,Rendah,Form Online,53,6.0,1,Tidak,Sesuai SLA,3
TIK00525,2026-01-13,Selasa,14:20,Akademik,Akun/Login,Sedang,Form Online,51,2.4,1,Tidak,Sesuai SLA,4
TIK00526,2026-01-13,Selasa,14:30,Keuangan,Proyektor,Rendah,WhatsApp,42,6.4,2,Tidak,Sesuai SLA,4
TIK00527,2026-01-13,Selasa,14:35,Laboratorium,Sistem Akademik,Tinggi,WhatsApp,18,9.5,2,Tidak,Lewat SLA,4
TIK00528,2026-01-13,Selasa,14:55,Laboratorium,Akun/Login,Tinggi,Email,63,9.4,1,Tidak,Lewat SLA,4
TIK00529,2026-01-13,Selasa,15:45,Perpustakaan,Internet/WiFi,Rendah,WhatsApp,44,7.1,1,Tidak,Sesuai SLA,5
TIK00530,2026-01-13,Selasa,15:50,Laboratorium,Sistem Akademik,Sedang,Form Online,78,9.5,1,Tidak,Sesuai SLA,3
TIK00531,2026-01-13,Selasa,16:00,Kemahasiswaan,Proyektor,Sedang,Form Online,43,3.7,1,Tidak,Sesuai SLA,5
TIK00532,2026-01-13,Selasa,16:10,Akademik,Sistem Akademik,Sedang,WhatsApp,31,7.8,1,Tidak,Sesuai SLA,4
TIK00533,2026-01-14,Rabu,07:15,Laboratorium,Internet/WiFi,Sedang,Form Online,49,11.8,1,Ya,Lewat SLA,3
TIK00534,2026-01-14,Rabu,07:35,Laboratorium,Komputer/Laptop,Sedang,WhatsApp,47,6.1,1,Tidak,Sesuai SLA,4
TIK00535,2026-01-14,Rabu,08:30,Laboratorium,Internet/WiFi,Rendah,Datang Langsung,37,7.6,1,Tidak,Sesuai SLA,4
TIK00536,2026-01-14,Rabu,08:40,Umum,Sistem Akademik,Tinggi,WhatsApp,29,9.1,3,Tidak,Lewat SLA,3
TIK00537,2026-01-14,Rabu,09:00,Program Studi,Akun/Login,Rendah,WhatsApp,76,4.8,1,Tidak,Sesuai SLA,5
TIK00538,2026-01-14,Rabu,09:05,Laboratorium,Komputer/Laptop,Sedang,Form Online,47,7.0,1,Tidak,Sesuai SLA,4
TIK00539,2026-01-14,Rabu,09:20,Keuangan,Internet/WiFi,Rendah,Email,82,8.3,1,Tidak,Sesuai SLA,4
TIK00540,2026-01-14,Rabu,09:30,Program Studi,Internet/WiFi,Rendah,WhatsApp,35,7.5,1,Ya,Sesuai SLA,4
TIK00541,2026-01-14,Rabu,09:35,Keuangan,Sistem Akademik,Tinggi,Form Online,44,10.4,1,Tidak,Lewat SLA,4
TIK00542,2026-01-14,Rabu,09:45,Umum,Komputer/Laptop,Sedang,Datang Langsung,24,4.3,1,Tidak,Sesuai SLA,4
TIK00543,2026-01-14,Rabu,09:55,Program Studi,Akun/Login,Rendah,Form Online,54,4.1,1,Tidak,Sesuai SLA,3
TIK00544,2026-01-14,Rabu,10:00,Program Studi,Komputer/Laptop,Rendah,WhatsApp,78,5.2,1,Tidak,Sesuai SLA,3
TIK00545,2026-01-14,Rabu,10:20,Laboratorium,Internet/WiFi,Sedang,Form Online,76,11.3,1,Tidak,Lewat SLA,4
TIK00546,2026-01-14,Rabu,10:30,Umum,Komputer/Laptop,Rendah,Form Online,70,8.2,1,Ya,Sesuai SLA,3
TIK00547,2026-01-14,Rabu,10:40,Program Studi,Printer,Rendah,Form Online,53,6.0,2,Tidak,Sesuai SLA,4
TIK00548,2026-01-14,Rabu,10:50,Laboratorium,Internet/WiFi,Sedang,WhatsApp,26,7.9,2,Tidak,Sesuai SLA,4
TIK00549,2026-01-14,Rabu,10:50,Akademik,Sistem Akademik,Tinggi,Datang Langsung,28,13.1,1,Ya,Lewat SLA,3
TIK00550,2026-01-14,Rabu,11:10,Kemahasiswaan,Sistem Akademik,Rendah,WhatsApp,59,11.3,1,Ya,Sesuai SLA,4
TIK00551,2026-01-14,Rabu,11:15,Perpustakaan,Akun/Login,Tinggi,Email,67,8.9,2,Tidak,Lewat SLA,4
TIK00552,2026-01-14,Rabu,11:20,Umum,Internet/WiFi,Sedang,Form Online,59,6.7,2,Tidak,Sesuai SLA,4
TIK00553,2026-01-14,Rabu,11:25,Program Studi,Komputer/Laptop,Sedang,WhatsApp,28,5.9,1,Tidak,Sesuai SLA,4
TIK00554,2026-01-14,Rabu,11:45,Laboratorium,Akun/Login,Sedang,Datang Langsung,29,2.6,1,Tidak,Sesuai SLA,5
TIK00555,2026-01-14,Rabu,11:55,Program Studi,Komputer/Laptop,Rendah,Form Online,51,5.9,2,Tidak,Sesuai SLA,4
TIK00556,2026-01-14,Rabu,12:30,Akademik,Proyektor,Rendah,WhatsApp,38,6.4,1,Tidak,Sesuai SLA,3
TIK00557,2026-01-14,Rabu,12:30,Perpustakaan,Akun/Login,Tinggi,Email,61,7.0,2,Tidak,Lewat SLA,3
TIK00558,2026-01-14,Rabu,12:50,Kemahasiswaan,Akun/Login,Sedang,Datang Langsung,40,3.6,1,Tidak,Sesuai SLA,4
TIK00559,2026-01-14,Rabu,12:50,Laboratorium,Internet/WiFi,Rendah,WhatsApp,47,7.5,2,Tidak,Sesuai SLA,4
TIK00560,2026-01-14,Rabu,12:55,Program Studi,Akun/Login,Rendah,WhatsApp,66,3.3,2,Tidak,Sesuai SLA,4
TIK00561,2026-01-14,Rabu,13:10,Akademik,Internet/WiFi,Sedang,Datang Langsung,50,5.7,1,Tidak,Sesuai SLA,4
TIK00562,2026-01-14,Rabu,13:35,Keuangan,Komputer/Laptop,Rendah,Datang Langsung,45,5.7,1,Tidak,Sesuai SLA,5
TIK00563,2026-01-14,Rabu,13:45,Kemahasiswaan,Komputer/Laptop,Sedang,WhatsApp,21,8.1,1,Ya,Sesuai SLA,4
TIK00564,2026-01-14,Rabu,14:05,Kemahasiswaan,Internet/WiFi,Rendah,WhatsApp,49,8.2,1,Tidak,Sesuai SLA,3
TIK00565,2026-01-14,Rabu,14:10,Program Studi,Akun/Login,Rendah,Email,95,2.8,1,Tidak,Sesuai SLA,4
TIK00566,2026-01-14,Rabu,14:20,Program Studi,Akun/Login,Tinggi,Form Online,35,4.2,3,Tidak,Sesuai SLA,5
TIK00567,2026-01-14,Rabu,14:25,Akademik,Proyektor,Sedang,Email,60,3.8,1,Tidak,Sesuai SLA,5
TIK00568,2026-01-14,Rabu,14:25,Program Studi,Sistem Akademik,Sedang,Datang Langsung,46,8.6,1,Tidak,Sesuai SLA,4
TIK00569,2026-01-14,Rabu,14:30,Akademik,Sistem Akademik,Rendah,WhatsApp,39,8.0,1,Tidak,Sesuai SLA,4
TIK00570,2026-01-14,Rabu,14:35,Keuangan,Komputer/Laptop,Rendah,WhatsApp,46,4.4,1,Tidak,Sesuai SLA,5
TIK00571,2026-01-14,Rabu,15:00,Program Studi,Komputer/Laptop,Rendah,Datang Langsung,33,5.6,1,Tidak,Sesuai SLA,5
TIK00572,2026-01-14,Rabu,15:00,Laboratorium,Printer,Rendah,WhatsApp,48,5.4,1,Tidak,Sesuai SLA,5
TIK00573,2026-01-15,Kamis,07:00,Kemahasiswaan,Sistem Akademik,Rendah,Form Online,93,7.2,1,Tidak,Sesuai SLA,4
TIK00574,2026-01-15,Kamis,07:00,Akademik,Komputer/Laptop,Rendah,Form Online,54,6.6,1,Tidak,Sesuai SLA,4
TIK00575,2026-01-15,Kamis,07:10,Laboratorium,Internet/WiFi,Sedang,WhatsApp,35,9.7,1,Tidak,Sesuai SLA,5
TIK00576,2026-01-15,Kamis,07:15,Program Studi,Sistem Akademik,Sedang,WhatsApp,22,16.5,1,Ya,Lewat SLA,3
TIK00577,2026-01-15,Kamis,07:40,Program Studi,Printer,Sedang,Form Online,60,3.5,1,Tidak,Sesuai SLA,4
TIK00578,2026-01-15,Kamis,07:40,Laboratorium,Internet/WiFi,Sedang,Email,62,7.7,1,Tidak,Sesuai SLA,5
TIK00579,2026-01-15,Kamis,07:50,Umum,Sistem Akademik,Tinggi,WhatsApp,26,10.6,3,Ya,Lewat SLA,3
TIK00580,2026-01-15,Kamis,07:55,Akademik,Akun/Login,Rendah,WhatsApp,56,7.6,1,Ya,Sesuai SLA,4
TIK00581,2026-01-15,Kamis,08:10,Akademik,Proyektor,Sedang,WhatsApp,30,3.3,1,Tidak,Sesuai SLA,4
TIK00582,2026-01-15,Kamis,08:15,Kemahasiswaan,Proyektor,Rendah,Datang Langsung,33,2.1,1,Tidak,Sesuai SLA,5
TIK00583,2026-01-15,Kamis,08:25,Akademik,Komputer/Laptop,Tinggi,Email,65,11.5,1,Ya,Lewat SLA,3
TIK00584,2026-01-15,Kamis,08:25,Perpustakaan,Printer,Sedang,WhatsApp,61,7.2,2,Tidak,Sesuai SLA,4
TIK00585,2026-01-15,Kamis,08:25,Laboratorium,Sistem Akademik,Tinggi,WhatsApp,25,12.6,1,Ya,Lewat SLA,3
TIK00586,2026-01-15,Kamis,08:30,Akademik,Proyektor,Sedang,Email,74,7.5,1,Tidak,Sesuai SLA,5
TIK00587,2026-01-15,Kamis,09:05,Akademik,Printer,Rendah,Email,71,4.1,2,Tidak,Sesuai SLA,4
TIK00588,2026-01-15,Kamis,09:10,Akademik,Printer,Sedang,WhatsApp,32,3.9,1,Tidak,Sesuai SLA,5
TIK00589,2026-01-15,Kamis,09:35,Keuangan,Sistem Akademik,Rendah,WhatsApp,37,10.0,1,Tidak,Sesuai SLA,4
TIK00590,2026-01-15,Kamis,09:40,Akademik,Printer,Sedang,Form Online,40,6.9,2,Tidak,Sesuai SLA,4
TIK00591,2026-01-15,Kamis,09:45,Program Studi,Akun/Login,Rendah,WhatsApp,77,3.2,1,Tidak,Sesuai SLA,5
TIK00592,2026-01-15,Kamis,10:30,Program Studi,Internet/WiFi,Sedang,WhatsApp,35,8.3,2,Tidak,Sesuai SLA,4
TIK00593,2026-01-15,Kamis,10:30,Kemahasiswaan,Komputer/Laptop,Rendah,Form Online,62,6.1,1,Tidak,Sesuai SLA,4
TIK00594,2026-01-15,Kamis,10:35,Umum,Akun/Login,Rendah,WhatsApp,44,1.8,2,Tidak,Sesuai SLA,4
TIK00595,2026-01-15,Kamis,10:40,Akademik,Akun/Login,Rendah,WhatsApp,46,3.5,1,Tidak,Sesuai SLA,4
TIK00596,2026-01-15,Kamis,10:45,Umum,Sistem Akademik,Sedang,Email,74,15.7,1,Tidak,Lewat SLA,2
TIK00597,2026-01-15,Kamis,11:00,Akademik,Akun/Login,Sedang,Form Online,45,3.9,1,Tidak,Sesuai SLA,5
TIK00598,2026-01-15,Kamis,11:15,Kemahasiswaan,Internet/WiFi,Rendah,Form Online,84,5.1,1,Tidak,Sesuai SLA,4
TIK00599,2026-01-15,Kamis,11:25,Kemahasiswaan,Internet/WiFi,Rendah,WhatsApp,39,7.6,1,Tidak,Sesuai SLA,5
TIK00600,2026-01-15,Kamis,11:40,Perpustakaan,Internet/WiFi,Tinggi,WhatsApp,17,7.6,1,Tidak,Lewat SLA,4
TIK00601,2026-01-15,Kamis,11:45,Akademik,Internet/WiFi,Tinggi,Form Online,41,8.4,1,Tidak,Lewat SLA,3
TIK00602,2026-01-15,Kamis,11:45,Program Studi,Sistem Akademik,Sedang,WhatsApp,30,7.8,2,Tidak,Sesuai SLA,4
TIK00603,2026-01-15,Kamis,11:55,Program Studi,Printer,Rendah,Datang Langsung,53,2.7,1,Tidak,Sesuai SLA,4
TIK00604,2026-01-15,Kamis,12:05,Akademik,Proyektor,Tinggi,Email,61,7.9,2,Ya,Lewat SLA,3
TIK00605,2026-01-15,Kamis,12:25,Laboratorium,Sistem Akademik,Rendah,WhatsApp,38,8.3,1,Tidak,Sesuai SLA,4
TIK00606,2026-01-15,Kamis,12:35,Program Studi,Akun/Login,Rendah,Form Online,68,2.6,1,Tidak,Sesuai SLA,5
TIK00607,2026-01-15,Kamis,12:35,Program Studi,Akun/Login,Sedang,WhatsApp,30,3.2,1,Tidak,Sesuai SLA,5
TIK00608,2026-01-15,Kamis,12:40,Akademik,Sistem Akademik,Sedang,Email,85,8.7,1,Tidak,Sesuai SLA,4
TIK00609,2026-01-15,Kamis,12:40,Laboratorium,Proyektor,Tinggi,Datang Langsung,31,2.9,3,Tidak,Sesuai SLA,5
TIK00610,2026-01-15,Kamis,12:40,Umum,Printer,Sedang,WhatsApp,33,12.0,2,Tidak,Lewat SLA,3
TIK00611,2026-01-15,Kamis,12:55,Program Studi,Akun/Login,Tinggi,WhatsApp,50,5.0,2,Tidak,Sesuai SLA,4
TIK00612,2026-01-15,Kamis,13:25,Laboratorium,Printer,Sedang,Form Online,61,3.4,1,Tidak,Sesuai SLA,4
TIK00613,2026-01-15,Kamis,13:35,Kemahasiswaan,Internet/WiFi,Sedang,WhatsApp,24,6.4,1,Tidak,Sesuai SLA,4
TIK00614,2026-01-15,Kamis,14:00,Kemahasiswaan,Akun/Login,Rendah,Form Online,57,3.3,1,Tidak,Sesuai SLA,5
TIK00615,2026-01-15,Kamis,14:00,Kemahasiswaan,Internet/WiFi,Sedang,Email,72,17.7,2,Ya,Lewat SLA,2
TIK00616,2026-01-15,Kamis,14:55,Akademik,Printer,Tinggi,Email,62,5.9,2,Tidak,Sesuai SLA,4
TIK00617,2026-01-15,Kamis,15:35,Perpustakaan,Printer,Tinggi,WhatsApp,38,5.8,2,Tidak,Sesuai SLA,4
TIK00618,2026-01-15,Kamis,15:45,Keuangan,Komputer/Laptop,Rendah,WhatsApp,45,6.3,1,Tidak,Sesuai SLA,4
TIK00619,2026-01-15,Kamis,17:55,Program Studi,Internet/WiFi,Sedang,WhatsApp,55,5.8,1,Tidak,Sesuai SLA,4
TIK00620,2026-01-16,Jumat,07:25,Umum,Internet/WiFi,Rendah,Email,74,9.3,1,Tidak,Sesuai SLA,3
TIK00621,2026-01-16,Jumat,07:25,Kemahasiswaan,Akun/Login,Rendah,Form Online,57,1.8,2,Tidak,Sesuai SLA,5
TIK00622,2026-01-16,Jumat,08:05,Akademik,Akun/Login,Rendah,WhatsApp,61,2.7,1,Tidak,Sesuai SLA,4
TIK00623,2026-01-16,Jumat,08:20,Keuangan,Printer,Sedang,WhatsApp,29,8.3,2,Tidak,Sesuai SLA,4
TIK00624,2026-01-16,Jumat,09:00,Akademik,Printer,Sedang,Email,65,5.4,1,Tidak,Sesuai SLA,5
TIK00625,2026-01-16,Jumat,09:10,Laboratorium,Akun/Login,Rendah,Email,71,3.6,1,Tidak,Sesuai SLA,4
TIK00626,2026-01-16,Jumat,09:10,Keuangan,Komputer/Laptop,Rendah,Email,68,5.6,2,Tidak,Sesuai SLA,4
TIK00627,2026-01-16,Jumat,09:15,Program Studi,Internet/WiFi,Sedang,WhatsApp,94,7.2,1,Tidak,Sesuai SLA,4
TIK00628,2026-01-16,Jumat,09:15,Kemahasiswaan,Internet/WiFi,Tinggi,Form Online,32,7.7,2,Tidak,Lewat SLA,3
TIK00629,2026-01-16,Jumat,09:20,Umum,Akun/Login,Rendah,Datang Langsung,29,3.0,1,Tidak,Sesuai SLA,4
TIK00630,2026-01-16,Jumat,10:00,Perpustakaan,Komputer/Laptop,Sedang,WhatsApp,24,8.3,1,Tidak,Sesuai SLA,5
TIK00631,2026-01-16,Jumat,10:05,Perpustakaan,Internet/WiFi,Rendah,WhatsApp,52,6.0,1,Tidak,Sesuai SLA,5
TIK00632,2026-01-16,Jumat,10:05,Laboratorium,Sistem Akademik,Sedang,Email,65,15.9,1,Tidak,Lewat SLA,3
TIK00633,2026-01-16,Jumat,10:10,Keuangan,Internet/WiFi,Rendah,WhatsApp,49,9.2,1,Tidak,Sesuai SLA,4
TIK00634,2026-01-16,Jumat,10:10,Keuangan,Sistem Akademik,Tinggi,Datang Langsung,11,10.7,2,Ya,Lewat SLA,4
TIK00635,2026-01-16,Jumat,10:10,Laboratorium,Proyektor,Rendah,Datang Langsung,80,4.5,1,Tidak,Sesuai SLA,4
TIK00636,2026-01-16,Jumat,10:15,Umum,Internet/WiFi,Sedang,Email,101,10.7,1,Ya,Lewat SLA,3
TIK00637,2026-01-16,Jumat,10:20,Akademik,Sistem Akademik,Sedang,Email,58,9.6,1,Tidak,Sesuai SLA,4
TIK00638,2026-01-16,Jumat,10:30,Laboratorium,Komputer/Laptop,Sedang,Datang Langsung,48,5.8,1,Tidak,Sesuai SLA,4
TIK00639,2026-01-16,Jumat,11:00,Program Studi,Sistem Akademik,Rendah,Email,104,7.8,1,Tidak,Sesuai SLA,5
TIK00640,2026-01-16,Jumat,11:00,Laboratorium,Proyektor,Tinggi,Form Online,59,7.0,1,Ya,Lewat SLA,3
TIK00641,2026-01-16,Jumat,11:15,Kemahasiswaan,Printer,Sedang,WhatsApp,48,7.5,2,Tidak,Sesuai SLA,4
TIK00642,2026-01-16,Jumat,11:40,Laboratorium,Sistem Akademik,Sedang,Email,71,11.7,2,Ya,Lewat SLA,2
TIK00643,2026-01-16,Jumat,12:25,Umum,Akun/Login,Sedang,WhatsApp,37,2.3,1,Tidak,Sesuai SLA,5
TIK00644,2026-01-16,Jumat,12:45,Akademik,Sistem Akademik,Sedang,Form Online,76,8.9,1,Tidak,Sesuai SLA,4
TIK00645,2026-01-16,Jumat,13:15,Laboratorium,Printer,Tinggi,WhatsApp,28,3.8,2,Tidak,Sesuai SLA,5
TIK00646,2026-01-16,Jumat,13:20,Laboratorium,Printer,Sedang,Email,61,4.3,2,Tidak,Sesuai SLA,4
TIK00647,2026-01-16,Jumat,13:55,Laboratorium,Internet/WiFi,Rendah,Form Online,60,6.7,1,Tidak,Sesuai SLA,4
TIK00648,2026-01-16,Jumat,14:50,Laboratorium,Internet/WiFi,Rendah,WhatsApp,44,6.7,1,Tidak,Sesuai SLA,4
TIK00649,2026-01-16,Jumat,15:00,Laboratorium,Printer,Rendah,Form Online,65,2.4,1,Tidak,Sesuai SLA,5
TIK00650,2026-01-16,Jumat,15:20,Program Studi,Internet/WiFi,Rendah,WhatsApp,53,6.1,1,Tidak,Sesuai SLA,4
TIK00651,2026-01-16,Jumat,15:20,Program Studi,Internet/WiFi,Rendah,Email,118,9.6,1,Tidak,Sesuai SLA,3
TIK00652,2026-01-16,Jumat,15:55,Kemahasiswaan,Internet/WiFi,Rendah,WhatsApp,31,7.7,2,Tidak,Sesuai SLA,4
TIK00653,2026-01-17,Sabtu,07:15,Umum,Proyektor,Sedang,WhatsApp,27,5.2,1,Tidak,Sesuai SLA,5
TIK00654,2026-01-17,Sabtu,07:25,Laboratorium,Internet/WiFi,Rendah,WhatsApp,51,8.0,1,Tidak,Sesuai SLA,4
TIK00655,2026-01-17,Sabtu,07:50,Kemahasiswaan,Akun/Login,Rendah,WhatsApp,65,2.9,1,Tidak,Sesuai SLA,5
TIK00656,2026-01-17,Sabtu,07:50,Program Studi,Sistem Akademik,Sedang,Form Online,38,7.6,1,Tidak,Sesuai SLA,4
TIK00657,2026-01-17,Sabtu,08:20,Laboratorium,Akun/Login,Sedang,WhatsApp,42,3.5,1,Tidak,Sesuai SLA,5
TIK00658,2026-01-17,Sabtu,08:20,Laboratorium,Printer,Sedang,Email,97,4.5,1,Tidak,Sesuai SLA,3
TIK00659,2026-01-17,Sabtu,08:25,Umum,Sistem Akademik,Tinggi,WhatsApp,26,11.4,3,Ya,Lewat SLA,3
TIK00660,2026-01-17,Sabtu,09:00,Keuangan,Sistem Akademik,Rendah,WhatsApp,40,10.0,1,Tidak,Sesuai SLA,4
TIK00661,2026-01-17,Sabtu,09:05,Program Studi,Internet/WiFi,Rendah,WhatsApp,35,8.1,2,Tidak,Sesuai SLA,5
TIK00662,2026-01-17,Sabtu,09:10,Kemahasiswaan,Internet/WiFi,Sedang,WhatsApp,46,6.8,1,Tidak,Sesuai SLA,4
TIK00663,2026-01-17,Sabtu,09:10,Kemahasiswaan,Printer,Rendah,Datang Langsung,44,2.8,1,Tidak,Sesuai SLA,4
TIK00664,2026-01-17,Sabtu,09:10,Akademik,Printer,Sedang,WhatsApp,28,4.1,1,Tidak,Sesuai SLA,5
TIK00665,2026-01-17,Sabtu,09:15,Umum,Sistem Akademik,Rendah,WhatsApp,70,7.9,1,Tidak,Sesuai SLA,3
TIK00666,2026-01-17,Sabtu,10:10,Umum,Internet/WiFi,Rendah,WhatsApp,49,8.1,2,Tidak,Sesuai SLA,5
TIK00667,2026-01-17,Sabtu,10:15,Kemahasiswaan,Printer,Sedang,WhatsApp,37,3.8,2,Tidak,Sesuai SLA,4
TIK00668,2026-01-17,Sabtu,10:20,Laboratorium,Internet/WiFi,Sedang,WhatsApp,60,15.0,1,Ya,Lewat SLA,4
TIK00669,2026-01-17,Sabtu,10:25,Akademik,Akun/Login,Rendah,Email,94,3.4,1,Tidak,Sesuai SLA,4
TIK00670,2026-01-17,Sabtu,10:25,Akademik,Internet/WiFi,Tinggi,Form Online,36,8.5,2,Tidak,Lewat SLA,4
TIK00671,2026-01-17,Sabtu,10:25,Kemahasiswaan,Sistem Akademik,Rendah,Datang Langsung,28,7.9,1,Tidak,Sesuai SLA,4
TIK00672,2026-01-17,Sabtu,10:40,Akademik,Komputer/Laptop,Rendah,Email,77,7.7,2,Tidak,Sesuai SLA,4
TIK00673,2026-01-17,Sabtu,11:00,Laboratorium,Akun/Login,Rendah,WhatsApp,31,2.3,2,Tidak,Sesuai SLA,5
TIK00674,2026-01-17,Sabtu,11:00,Perpustakaan,Komputer/Laptop,Sedang,Email,87,6.3,1,Tidak,Sesuai SLA,4
TIK00675,2026-01-17,Sabtu,11:15,Laboratorium,Proyektor,Rendah,Form Online,58,6.6,2,Ya,Sesuai SLA,4
TIK00676,2026-01-17,Sabtu,11:20,Laboratorium,Komputer/Laptop,Rendah,WhatsApp,39,5.6,1,Tidak,Sesuai SLA,4
TIK00677,2026-01-17,Sabtu,11:20,Perpustakaan,Sistem Akademik,Tinggi,WhatsApp,25,9.6,2,Tidak,Lewat SLA,3
TIK00678,2026-01-17,Sabtu,11:30,Keuangan,Printer,Rendah,WhatsApp,40,3.6,2,Tidak,Sesuai SLA,5
TIK00679,2026-01-17,Sabtu,11:40,Kemahasiswaan,Akun/Login,Sedang,Datang Langsung,27,4.2,2,Ya,Sesuai SLA,5
TIK00680,2026-01-17,Sabtu,11:50,Akademik,Komputer/Laptop,Rendah,Form Online,62,8.4,1,Ya,Sesuai SLA,5
TIK00681,2026-01-17,Sabtu,12:10,Umum,Komputer/Laptop,Sedang,WhatsApp,38,5.2,2,Tidak,Sesuai SLA,4
TIK00682,2026-01-17,Sabtu,12:20,Perpustakaan,Sistem Akademik,Sedang,WhatsApp,29,10.0,1,Ya,Sesuai SLA,3
TIK00683,2026-01-17,Sabtu,12:20,Akademik,Sistem Akademik,Sedang,WhatsApp,34,10.4,1,Tidak,Lewat SLA,3
TIK00684,2026-01-17,Sabtu,12:30,Akademik,Akun/Login,Sedang,WhatsApp,31,2.2,1,Tidak,Sesuai SLA,5
TIK00685,2026-01-17,Sabtu,12:40,Perpustakaan,Printer,Rendah,WhatsApp,39,3.2,2,Tidak,Sesuai SLA,5
TIK00686,2026-01-17,Sabtu,13:10,Akademik,Internet/WiFi,Tinggi,Datang Langsung,17,14.1,1,Ya,Lewat SLA,3
TIK00687,2026-01-17,Sabtu,13:15,Umum,Sistem Akademik,Sedang,Datang Langsung,42,8.2,1,Tidak,Sesuai SLA,3
TIK00688,2026-01-17,Sabtu,13:20,Laboratorium,Printer,Tinggi,Form Online,66,4.5,2,Tidak,Sesuai SLA,3
TIK00689,2026-01-17,Sabtu,13:30,Program Studi,Printer,Rendah,Email,72,3.9,1,Tidak,Sesuai SLA,5
TIK00690,2026-01-17,Sabtu,13:40,Program Studi,Akun/Login,Rendah,Form Online,53,5.8,2,Tidak,Sesuai SLA,4
TIK00691,2026-01-17,Sabtu,14:30,Akademik,Sistem Akademik,Sedang,Form Online,51,10.6,2,Ya,Lewat SLA,3
TIK00692,2026-01-17,Sabtu,14:40,Perpustakaan,Komputer/Laptop,Rendah,Datang Langsung,39,5.4,1,Tidak,Sesuai SLA,5
